species_abbreviation,goFlagID,no_of_loci,no_var_loc,no_nonvar_loc,no_phased_loci,avg_length,avg_nonvar,avg_het
Blech_po,UFG_393201_P03_WC07,426,344,82,319,623.9389671,5.528169014,0.00972987
G_robB,UFG_393202_P007_WH05,410,293,117,288,1184.553659,11.42439024,0.01097276
C_alp,UFG_393202_P016_WD07,406,309,97,307,809.9334975,11.01724138,0.016046243
C_montA,UFG_393202_P016_WE07,399,264,135,201,644.2080201,3.473684211,0.005647903
Woods_alp,UFG_393202_P016_WF07,408,289,119,284,1070.262255,14.56617647,0.015692621
C_tenuA,UFG_393202_P028_WA08,409,0,409,0,1001.251834,0,0
Rhach_bl,UFG_393202_P028_WC12,406,0,406,0,836.6428571,0,0
G_dryA,UFG_393202_P028_WE07,411,0,411,0,1209.948905,0,0
Hemid_ma,UFG_393202_P046_WC05,400,71,329,34,566.165,0.7,0.001069322
Desmo_lo,UFG_393202_P046_WD05,323,239,84,223,364.5263158,5.554179567,0.014913623
Pentar_in,UFG_393202_P046_WD06,406,217,189,164,878.4359606,4.157635468,0.004739986
Dipla_ja,UFG_393202_P046_WE03,407,231,176,187,948.4201474,3.393120393,0.0035982
Desmo_le,UFG_393202_P046_WE05,369,279,90,244,414.4173442,7.279132791,0.018562575
Hymen_re,UFG_393202_P046_WF04,267,122,145,86,441.2247191,2.292134831,0.005024214
Depar_ja,UFG_393202_P046_WG02,405,258,147,203,905.6296296,5.320987654,0.006137703
C_fragK,UFG_393202_P049_WF12,407,269,138,248,1054.611794,7.277641278,0.007617866
G_remoB,UFG_393202_P051_WA01,406,188,218,142,841.9433498,2.881773399,0.003582131
C_pellA,UFG_393202_P051_WA02,405,239,166,188,787.6962963,4.264197531,0.005696118
C_tenuB,UFG_393202_P051_WA03,408,293,115,288,937.0367647,9.384803922,0.011706202
C_fragH,UFG_393202_P051_WA04,406,280,126,274,917.4876847,7.041871921,0.008940376
G_robA,UFG_393202_P051_WA05,406,297,109,293,1016.975369,10.21921182,0.011557849
C_sud,UFG_393202_P051_WA06,401,280,121,266,867.1695761,6.633416459,0.008630105
A_japA,UFG_393202_P051_WA07,406,293,113,278,921.6108374,5.876847291,0.007291607
C_woods,UFG_393202_P051_WA08,406,301,105,289,881.7783251,9.564039409,0.012576503
A_taiA,UFG_393202_P051_WA09,405,297,108,278,969.7432099,6.222222222,0.007292133
C_api,UFG_393202_P051_WA10,404,315,89,301,673.3118812,6.663366337,0.01126912
Parat_ni,UFG_393202_P051_WA11,407,206,201,138,849.036855,3.196560197,0.003750773
A_tenE,UFG_393202_P051_WB01,407,278,129,246,853.0909091,3.975429975,0.005221719
G_jessB,UFG_393202_P051_WB02,406,319,87,309,658.3374384,5.854679803,0.010226062
C_verm,UFG_393202_P051_WB03,406,297,109,293,854.8029557,8.901477833,0.011948498
C_tasA,UFG_393202_P051_WB04,407,278,129,261,885.3538084,7.098280098,0.00900034
A_japB,UFG_393202_P051_WB05,406,50,356,42,767.4359606,1.174876847,0.001405865
G_oyaC,UFG_393202_P051_WB06,408,218,190,170,906.8406863,2.862745098,0.003380955
A_tenC,UFG_393202_P051_WB07,408,278,130,264,985.6102941,6.024509804,0.007133067
C_fragA5x,UFG_393202_P051_WB08,406,292,114,288,1049.615764,13.68226601,0.015064526
G_jessA,UFG_393202_P051_WB09,407,290,117,284,917.6560197,7.786240786,0.009932993
Cyclog_fl,UFG_393202_P051_WB10,400,277,123,253,767.245,9.28,0.013550248
C_tenn,UFG_393202_P051_WC01,409,291,118,291,996.0953545,12.31051345,0.014601
C_moupE,UFG_393202_P051_WC02,402,255,147,210,800.1940299,4.281094527,0.005624574
