goFlagID,species_name,species_family,ploidy,species_abbreviation,provenance,collector,database_ID,voucher_ID
UFG_393201_P03_WC07,Blechnum_polypodioides,Blechnaceae,UNK,Blech_po,,,,
UFG_393202_P007_WH05,Gymnocarpium_robertianum,Cystopteridaceae,4x,G_robB,"Green_Swamp,_Michigan",Susan_Fawcett,Fawcett_542,
UFG_393202_P016_WD07,Cystopteris_alpina,Cystopteridaceae,6x,C_alp,,Emily_Sessa,S15-17533,
UFG_393202_P016_WE07,Cystopteris_montana,Cystopteridaceae,4x,C_montA,,Emily_Sessa,S-NO592-59,
UFG_393202_P016_WF07,Woodsia_alpina,Woodsiaceae,6x,Woods_alp,France,Emily_Sessa,N116-92,
UFG_393202_P028_WA08,Cystopteris_tenuis,Cystopteridaceae,4x,C_tenuA,Michigan,Susan_Fawcett,SF793,
UFG_393202_P028_WC12,Rhachidosorus_blotianus,Rachidosoraceae,UNK,Rhach_bl,Taiwan,Susan_Fawcett,Pi-Fong_Lu_9746-3,
UFG_393202_P028_WE07,Gymnocarpium_dryopteris,Cystopteridaceae,4x,G_dryA,Michigan,Susan_Fawcett,SF788,
UFG_393202_P046_WC05,Hemidictyum_marginatum,Hemidictyaceae,UNK,Hemid_ma,Ecuador,Carl_Rothfels,M.S.Foster_85-168,
UFG_393202_P046_WD05,Desmophlebium_longisorum,Desmophlebiaceae,UNK,Desmo_lo,Ecuador,Carl_Rothfels,T.B.Croat_49732,
UFG_393202_P046_WD06,Pentarhizidium_intermedium,Onocleaceae,UNK,Pentar_in,China,Carl_Rothfels,12470_Rothfels_5307,
UFG_393202_P046_WE03,Diplaziopsis_javanica,Diplaziopsidaceae,UNK,Dipla_ja,Malaysia,Carl_Rothfels,11700_Rothfels_4769,
UFG_393202_P046_WE05,Desmophlebium_lechleri,Desmophlebiaceae,UNK,Desmo_le,Peru,Carl_Rothfels,L.Valenzuela_8454,
UFG_393202_P046_WF04,Hymenasplenium_repandulum,Aspleniaceae,UNK,Hymen_re,Peru,Carl_Rothfels,Rothfels_5067,
UFG_393202_P046_WG02,Deparia_japonica,Athyriaceae,UNK,Depar_ja,South_Africa,Carl_Rothfels,Rothfels_4685,
UFG_393202_P049_WF12,Cystopteris_fragilis,Cystopteridaceae,UNK,C_fragK,Armenia,Weston_Testo,Testo_1135,
UFG_393202_P051_WA01,Gymnocarpium_remotepinnatum,Cystopteridaceae,4x,G_remoB,China:Yunnan.,Carl_Rothfels,DUKE_3066,
UFG_393202_P051_WA02,Cystopteris_pellucida,Cystopteridaceae,4x,C_pellA,China:De_Qin_County,Carl_Rothfels,DUKE_6055,
UFG_393202_P051_WA03,Cystopteris_tenuis,Cystopteridaceae,4x,C_tenuB,USA:Chittenden_County,Carl_Rothfels,DUKE_6387,
UFG_393202_P051_WA04,Cystopteris_fragilis,Cystopteridaceae,4x,C_fragH,Switzerland,Carl_Rothfels,DUKE_7248,
UFG_393202_P051_WA05,Gymnocarpium_robertianum,Cystopteridaceae,4x,G_robA,Norway:Fauske_County,Carl_Rothfels,DUKE_7945,
UFG_393202_P051_WA06,Cystopteris_sudetica,Cystopteridaceae,4x,C_sud,Norway:Ringebu,Carl_Rothfels,DUKE_8674,
UFG_393202_P051_WA07,Acystopteris_japonica,Cystopteridaceae,4x,A_japA,China:Sichuan.,Carl_Rothfels,DUKE_8740,Kuo_2124_
UFG_393202_P051_WA08,Cystopteris_woodsioides,Cystopteridaceae,8x,C_woods,USA:Washington,Carl_Rothfels,DUKE_10388,
UFG_393202_P051_WA09,Acystopteris_taiwaniana,Cystopteridaceae,UNK,A_taiA,Taiwan:Alishan,Carl_Rothfels,DUKE_12425,
UFG_393202_P051_WA10,Cystopteris_apiiformis,Cystopteridaceae,UNK,C_api,Chile._Juan_Fernandez_Islands,Carl_Rothfels,DUKE_12569,
UFG_393202_P051_WA11,Parathelypteris_nipponica,Thelypteridaceae,UNK,Parat_ni,China,Carl_Rothfels,DUKE_12464,
UFG_393202_P051_WB01,Acystopteris_tenuisecta,Cystopteridaceae,4x,A_tenE,Malaysia:Pahang.,Carl_Rothfels,DUKE_4225,
UFG_393202_P051_WB02,Gymnocarpium_jessoense,Cystopteridaceae,UNK,G_jessB,China:Xizang.,Carl_Rothfels,DUKE_6059,
UFG_393202_P051_WB03,Cystopteris_vermont,Cystopteridaceae,2x,C_verm,USA:Vermont,Carl_Rothfels,DUKE_6390,Barrington_2376_DUKE
UFG_393202_P051_WB04,Cystopteris_tasmanica,Cystopteridaceae,4x,C_tasA,New_Zealand:Ota.,Carl_Rothfels,DUKE_7530,
UFG_393202_P051_WB05,Acystopteris_japonica,Cystopteridaceae,2x,A_japB,China:TongDao_County,Carl_Rothfels,DUKE_7978,Ebihara_060728-01_TNS
UFG_393202_P051_WB06,Gymnocarpium_oyamense,Cystopteridaceae,4x,G_oyaC,China:Sichuan.,Carl_Rothfels,DUKE_8702,
UFG_393202_P051_WB07,Acystopteris_tenuisecta,Cystopteridaceae,4x,A_tenC,Indonesia:Gede-Pangrango_National_Park,Carl_Rothfels,DUKE_8745,
UFG_393202_P051_WB08,Cystopteris_fragilis,Cystopteridaceae,5x,C_fragA5x,USA:Washington,Carl_Rothfels,DUKE_10397,
UFG_393202_P051_WB09,Gymnocarpium_jessoense,Cystopteridaceae,UNK,G_jessA,China:Bomi_Xian,Carl_Rothfels,DUKE_12476,
UFG_393202_P051_WB10,Cyclogramma_flexilis,Thelypteridaceae,UNK,Cyclog_fl,China,Carl_Rothfels,DUKE_12428,
UFG_393202_P051_WC01,Cystopteris_tennesseensis,Cystopteridaceae,4x,C_tenn,USA:North_Carolina,Carl_Rothfels,DUKE_4513,
UFG_393202_P051_WC02,Cystopteris_moupinensis,Cystopteridaceae,2x,C_moupE,China:Sichuan.,Carl_Rothfels,DUKE_6091,
UFG_393202_P051_WC03,Gymnocarpium_oyamense,Cystopteridaceae,2x,G_oyaA,Japan,Carl_Rothfels,DUKE_6399,
UFG_393202_P051_WC04,Cystopteris_fragilis,Cystopteridaceae,6x,C_fragG,Taiwan:Taichung,Carl_Rothfels,DUKE_7625,
UFG_393202_P051_WC05,Gymnocarpium_sp,Cystopteridaceae,4x,G_spA,Japan:Iwate,Carl_Rothfels,DUKE_7979,
UFG_393202_P051_WC06,Acystopteris_japonica,Cystopteridaceae,6x,A_japC,China:Hunan.,Carl_Rothfels,DUKE_8703,
UFG_393202_P051_WC07,Gymnocarpium_xintermedium,Cystopteridaceae,8x,G_xint,Finland:Kuusamoensis.,Carl_Rothfels,DUKE_9299,
UFG_393202_P051_WC08,Cystopteris_fragilis,Cystopteridaceae,4x,C_fragE,Canada:Yukon.,Carl_Rothfels,DUKE_10484,
UFG_393202_P051_WC09,Cystopteris_deqinensis,Cystopteridaceae,UNK,C_deq,China:Sichuan,Carl_Rothfels,DUKE_12505,
UFG_393202_P051_WD01,Acystopteris_tenuisecta,Cystopteridaceae,2x,A_tenA,Taiwan:Rueiyan_River_Reserve,Carl_Rothfels,DUKE_4831,
UFG_393202_P051_WD02,Acystopteris_taiwaniana,Cystopteridaceae,4x,A_taiC,Taiwan:Chial_Co._Kuo_175_,Carl_Rothfels,DUKE_6137,
UFG_393202_P051_WD03,Cystopteris_membranifolia,Cystopteridaceae,2x,C_mem,Mexico:Municipio_Santa_Maria_Teopoxco,Carl_Rothfels,DUKE_6732,
UFG_393202_P051_WD04,Cystopteris_bulbifera,Cystopteridaceae,2x,C_bulb,Canada:Ontario.,Carl_Rothfels,DUKE_7650,
UFG_393202_P051_WD05,Gymnocarpium_dryopteris,Cystopteridaceae,4x,G_dryB,Japan:Uryu-gun,Carl_Rothfels,DUKE_7981,
UFG_393202_P051_WD06,Cystopteris_dickieana,Cystopteridaceae,UNK,C_dick,UK:Scotland,Carl_Rothfels,DUKE_8716.01,
UFG_393202_P051_WD07,Cystopteris_idaho,Cystopteridaceae,2x,C_idaho,USA:Idaho,Carl_Rothfels,DUKE_9567,
UFG_393202_P051_WD08,Cystopteris_reevesiana,Cystopteridaceae,2x,C_reev,USA:Colorado.,Carl_Rothfels,DUKE_10513,
UFG_393202_P051_WD09,Cystopteris_pellucida,Cystopteridaceae,UNK,C_pellB,China:Baoxing_County,Carl_Rothfels,DUKE_12530,
UFG_393202_P051_WE01,Cystopteris_moupinensis,Cystopteridaceae,2x,C_moupC,China:Jiulong_Xian,Carl_Rothfels,DUKE_4861,
UFG_393202_P051_WE02,Cystopteris_douglasii,Cystopteridaceae,UNK,C_doug,USA:Hawaii.,Carl_Rothfels,DUKE_6206,
UFG_393202_P051_WE03,Cystopteris_millefolia,Cystopteridaceae,UNK,C_mill,Mexico:Mexico.,Carl_Rothfels,DUKE_6761,
UFG_393202_P051_WE04,Gymnocarpium_disjunctum,Cystopteridaceae,2x,G_disj,USA:Snohomish_County,Carl_Rothfels,DUKE_7751,
UFG_393202_P051_WE05,Gymnocarpium_sp,Cystopteridaceae,UNK,G_spB,China:Sichuan.,Carl_Rothfels,DUKE_8119,
UFG_393202_P051_WE06,Cystopteris_moupinensis,Cystopteridaceae,4x,C_moupA,China:Yunnan.,Carl_Rothfels,DUKE_8732,
